example_id,section_title,code_text,line_count,contains_find_all,contains_find,contains_select,contains_get_text,contains_requests
1,Quick Start,"html_doc = """"""<html><head><title>The Dormouse's story</title></head>
<body>
<p class=""title""><b>The Dormouse's story</b></p>

<p class=""story"">Once upon a time there were three little sisters; and their names were
<a href=""http://example.com/elsie"" class=""sister"" id=""link1"">Elsie</a>,
<a href=""http://example.com/lacie"" class=""sister"" id=""link2"">Lacie</a> and
<a href=""http://example.com/tillie"" class=""sister"" id=""link3"">Tillie</a>;
and they lived at the bottom of a well.</p>

<p class=""story"">...</p>
""""""",12,False,False,False,False,False
2,Quick Start,"from bs4 import BeautifulSoup
soup = BeautifulSoup(html_doc, 'html.parser')

print(soup.prettify())
# <html>
#  <head>
#   <title>
#    The Dormouse's story
#   </title>
#  </head>
#  <body>
#   <p class=""title"">
#    <b>
#     The Dormouse's story
#    </b>
#   </p>
#   <p class=""story"">
#    Once upon a time there were three little sisters; and their names were
#    <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">
#     Elsie
#    </a>
#    ,
#    <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">
#     Lacie
#    </a>
#    and
#    <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">
#     Tillie
#    </a>
#    ; and they lived at the bottom of a well.
#   </p>
#   <p class=""story"">
#    ...
#   </p>
#  </body>
# </html>",36,False,False,False,False,False
3,Quick Start,"soup.title
# <title>The Dormouse's story</title>

soup.title.name
# u'title'

soup.title.string
# u'The Dormouse's story'

soup.title.parent.name
# u'head'

soup.p
# <p class=""title""><b>The Dormouse's story</b></p>

soup.p['class']
# u'title'

soup.a
# <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>

soup.find_all('a')
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]

soup.find(id=""link3"")
# <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>",28,True,True,False,False,False
4,Quick Start,"for link in soup.find_all('a'):
    print(link.get('href'))
# http://example.com/elsie
# http://example.com/lacie
# http://example.com/tillie",5,True,False,False,False,False
5,Quick Start,"print(soup.get_text())
# The Dormouse's story
#
# The Dormouse's story
#
# Once upon a time there were three little sisters; and their names were
# Elsie,
# Lacie and
# Tillie;
# and they lived at the bottom of a well.
#
# ...",12,False,False,False,True,False
6,Making the soup,"from bs4 import BeautifulSoup

with open(""index.html"") as fp:
    soup = BeautifulSoup(fp, 'html.parser')

soup = BeautifulSoup(""<html>a web page</html>"", 'html.parser')",6,False,False,False,False,False
7,Making the soup,"print(BeautifulSoup(""<html><head></head><body>Sacr&eacute; bleu!</body></html>"", ""html.parser""))
# <html><head></head><body>Sacré bleu!</body></html>",2,False,False,False,False,False
8,Kinds of objects,"soup = BeautifulSoup('<b class=""boldest"">Extremely bold</b>', 'html.parser')
tag = soup.b
type(tag)
# <class 'bs4.element.Tag'>",4,False,False,False,False,False
9,Kinds of objects,"tag.name
# 'b'",2,False,False,False,False,False
10,Kinds of objects,"tag.name = ""blockquote""
tag
# <blockquote class=""boldest"">Extremely bold</blockquote>",3,False,False,False,False,False
